SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,181 Fitzgerald Ave,San Francisco,CA,94124,8000,0,,San Francisco,,5000,,7,,,Active,,,http://www.redfin.com/CA/San-Francisco/181-Fitzgerald-Ave-94124/home/110062910,San Francisco MLS,421582105,N,Y,37.7098306,-122.3721964
MLS Listing,,Vacant Land,680 Egbert Ave,San Francisco,CA,94124,8000,0,,San Francisco,,5000,,7,,,Active,,,http://www.redfin.com/CA/San-Francisco/680-Egbert-Ave-94124/home/110063046,San Francisco MLS,421581549,N,Y,37.7141189,-122.377015
MLS Listing,,Condo/Co-op,488 Folsom St #3703,San Francisco,CA,94105,1695000,1,1.5,San Francisco,916,,2019,7,1850,1574,Active,,,http://www.redfin.com/CA/San-Francisco/488-Folsom-St-94105/unit-3703/home/166736707,San Francisco MLS,421582176,N,Y,37.7878074,-122.3943328
MLS Listing,,Condo/Co-op,488 Folsom St #4203,San Francisco,CA,94105,1775000,1,1.5,San Francisco,921,,2019,7,1927,1574,Active,,,http://www.redfin.com/CA/San-Francisco/488-Folsom-St-94105/unit-4203/home/169571691,San Francisco MLS,421582171,N,Y,37.7878074,-122.3943328
MLS Listing,,Single Family Residential,251 - 253 Collingwood St,San Francisco,CA,94114,5495000,5,4.0,San Francisco,4015,3025,1891,7,1369,,Active,August-15-2021 01:00 PM,August-15-2021 02:30 PM,http://www.redfin.com/CA/San-Francisco/251-Collingwood-St-94114/home/1351579,San Francisco MLS,421579758,N,Y,37.7583671,-122.4355862
MLS Listing,,Condo/Co-op,233 Franklin St #208,San Francisco,CA,94102,999000,1,1.0,San Francisco,780,13254,2010,7,1281,655,Active,August-14-2021 12:00 PM,August-14-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/233-Franklin-St-94102/unit-208/home/40138587,San Francisco MLS,421581174,N,Y,37.7768306,-122.42153
MLS Listing,,Condo/Co-op,1701 Jackson St #206,San Francisco,CA,94109,1279000,2,2.0,San Francisco,1108,38432,2001,7,1154,852,Active,August-14-2021 11:00 AM,August-14-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/1701-Jackson-St-94109/unit-206/home/1870863,San Francisco MLS,421582142,N,Y,37.7936915,-122.4234902
MLS Listing,,Condo/Co-op,815 Tennessee St #303,San Francisco,CA,94107,1799000,3,2.0,San Francisco,,19971,2018,7,,747,Active,,,http://www.redfin.com/CA/San-Francisco/815-Tennessee-St-94107/unit-303/home/145300337,San Francisco MLS,421582102,N,Y,37.7614764,-122.3892934
MLS Listing,,Condo/Co-op,650 Delancey St #112,San Francisco,CA,94107,2350000,2,2.0,San Francisco,1851,61922,1996,7,1270,731,Active,August-15-2021 12:00 PM,August-15-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/650-Delancey-St-94107/unit-112/home/12396310,San Francisco MLS,421582103,N,Y,37.7828055,-122.3896538
MLS Listing,,Condo/Co-op,88 King St #1219,San Francisco,CA,94107,1649000,2,2.0,San Francisco,1115,82157,2000,7,1479,1169,Active,August-14-2021 01:00 PM,August-14-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/88-King-St-94107/unit-1219/home/12397359,San Francisco MLS,421579786,N,Y,37.7806744,-122.3892218
